1,Lenovo,Lenovo Tab 7 Tablet (Black),8799,6.98,16,1280x720 pixels,Android 7.0,1.3GHz quad-core
2,Swipe,Swipe Slice Tablet (Black),2990,7,4,480x800 pixels,Android 4.2.2,1.3GHz dual-core
3,Swipe,Swipe Slice Tablet (White),3389,7,4,480x800 pixels,Android 4.2.2,1.3GHz dual-core
4,Lenovo,Lenovo Tab 2 A8-50LC Tablet (Blue),15000,8,8,1280x720 pixels,Android 5.0,1.3GHz quad-core
5,Karbonn,Karbonn ST-72 Tablet (White),4499,7,4,1024x600 pixels,Android 4.4.2,1.3GHz quad-core
6,iBall,iBall Slide 9017-D50 Tablet (Black),10000,9,8,600x1024 pixels,Android 4.4,1.3GHz dual-core
7,Karbonn,Karbonn TA-FONE-A34 Tablet (White),4100,7,4,800x480 pixels,Android 4.0,1GHz one-core
8,iBall,iBall Slide 9017-D50 Tablet (Blue),7999,9,8,600x1024 pixels,Android 4.4,1.3GHz dual-core
9,Asus,Asus Fonepad 8 FE380CG-1A071A Tablet (Black),14490,8,16,1280x800 pixels,Android 4.4,1.3GHz quad-core
10,iBall,iBall Slide Q27 Tablet (Black),11399,10.1,16,800x1280 pixels,Android 6.0,1.3GHz quad-core
11,Micromax,Micromax Canvas P470 Tablet (Grey),7494,7,8,1024x600 pixels,Android 4.4.2,1.3GHz dual-core
12,Micromax,Micromax Canvas P470 Tablet (Silver),6985,7,8,1024x600 pixels,Android 4.4.2,1.3GHz dual-core
13,iBall,iBall Slide Q27 Tablet (Blue),13999,10.1,16,800x1280 pixels,Android 6.0,1.3GHz quad-core
14,iBall,iBall Slide Q27 Tablet (Black),7599,10.1,16,800x1280 pixels,Android 6.0,1.3GHz quad-core
15,Milagrow,Dell Venue 7 Tablet (Black),10999,7.9,32,768x1024 pixels,Android 4.2,1.6GHz quad-core
16,iBall,iBall Silde Co-Mate Tablet (Blue),6999,8,18,1280x800 pixels,Android 5.1,1.3GHz quad-core
17,Asus,Asus A7-50 Tablet (Black),15000,7,16,1024x600 pixels,Android 4.4,1.2GHz dual-core
18,Zebronics,Zebronics Zebpad 7T500 Tablet (Black),5250,7,8,600x1024 pixels,Android 4.4,1.2GHz dual-core
19,Lava,Swipe Ace Strike Tablet (White),5499,7,4,1024x600 pixels,Android 4.1,1.2GHz dual-core
20,iBall,iBall Slide 6095-Q700 Tablet (Brown),5999,6.9,16,600x1024 pixels,Android 4.4,1.3GHz quad-core
21,iBall,iBall Slide Wings 4GP Tablet (Silver),8495,8,16,800x1200 pixels,Android 5.1,1.3GHz quad-core
22,Asus,Asus Slide Bio-Mate Tablet (Cobalt Brown),2200,7,8,1024x600 pixels,Android 5.0,1.2GHz quad-core
23,Honor,Honor Funbook MINI-P410I Tablet (Black),7999,9.6,16,800x1280 pixels,Android 7.0,1.3GHz quad-core
24,Samsung,Samsung Galaxy Tab S2 SM-T819YZDEINS Tablet (Gold),27999,9.7,32,1536x2048 pixels,Android 5.0,1.3GHz octa-core
25,iBall,iBall Slide 7271-HD70 Tablet (Silver),5499,7,8,1024x600 pixels,Android 4.2,1.3GHz dual-core
26,iBall,iBall Slide 7271-HD70 Tablet (Silver),2200,7,8,1024x600 pixels,Android 4.2,1.3GHz dual-core
27,Micromax,Micromax Canvas P480 Tablet (Grey),6490,7,8,1024x600 pixels,Android 4.4.2,1.3GHz quad-core
28,Acer,Lenovo Tab 7 Essential-TB-7304F Tablet (Black),10999,7,16,1280x800 pixels,Android 4.4,1.2GHz quad-core
29,HP,HP 7 Tablet ( White),10999,6.95,8,1024x600 pixels,Android 4.4,1.3GHz quad-core
30,iBall,iBall Slide 1026-Q18 Tablet (White),7999,10.1,8,600x1024 pixels,Android 4.4,1.3GHz quad-core
